group,returned
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,1
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
spring,0
